transaction_id,merchant_id,category,amount_normalized,raw_amount
tx-000000041,merchant-02787,ferreteria,0.769062,19226.54
tx-000000042,merchant-01296,restaurante,0.294913,7372.83
tx-000000043,merchant-02158,colmado,0.005239,130.97
tx-000000044,merchant-04159,ferreteria,0.762438,19060.96
tx-000000045,merchant-02445,colmado,0.870778,21769.44
tx-000000046,merchant-01253,servicios,0.609752,15243.81
tx-000000047,merchant-04419,colmado,0.762986,19074.64
tx-000000048,merchant-04907,servicios,0.918656,22966.41
tx-000000049,merchant-00917,servicios,0.489628,12240.71
tx-000000050,merchant-02520,ropa,0.878964,21974.11
tx-000000051,merchant-04648,ferreteria,0.059809,1495.23
tx-000000052,merchant-03982,ferreteria,0.087482,2187.05
tx-000000053,merchant-04364,farmacia,0.978028,24450.71
tx-000000054,merchant-03894,colmado,0.130135,3253.37
tx-000000055,merchant-04323,otros,0.166797,4169.92
tx-000000056,merchant-01736,colmado,0.424292,10607.29
tx-000000057,merchant-01648,electronica,0.755755,18893.87
tx-000000058,merchant-03060,restaurante,0.400194,10004.86
tx-000000059,merchant-03699,ferreteria,0.899815,22495.37
tx-000000060,merchant-00525,servicios,0.24941,6235.25
tx-000000061,merchant-04538,ropa,0.022992,574.8
tx-000000062,merchant-00059,ferreteria,0.589263,14731.58
tx-000000063,merchant-00483,ropa,0.708425,17710.63
tx-000000064,merchant-00258,servicios,0.069266,1731.64
tx-000000065,merchant-01950,electronica,0.072716,1817.89
tx-000000066,merchant-01756,colmado,0.66964,16741.0
tx-000000067,merchant-04678,otros,0.134047,3351.18
tx-000000068,merchant-03875,transporte,0.473726,11843.14
tx-000000069,merchant-00795,transporte,0.192029,4800.73
tx-000000070,merchant-03368,restaurante,0.355589,8889.72
tx-000000071,merchant-00444,ferreteria,0.864109,21602.73
tx-000000072,merchant-02780,ferreteria,0.062492,1562.29
tx-000000073,merchant-01559,colmado,0.250159,6253.98
tx-000000074,merchant-03457,farmacia,0.449716,11242.91
tx-000000075,merchant-02047,ferreteria,0.279988,6999.7
tx-000000076,merchant-04509,ferreteria,0.444244,11106.11
tx-000000077,merchant-04429,alimentos,0.052487,1312.18
tx-000000078,merchant-01937,farmacia,0.969058,24226.46
tx-000000079,merchant-03944,ropa,0.407601,10190.03
tx-000000080,merchant-00481,farmacia,0.864921,21623.03
tx-000000081,merchant-03199,electronica,0.380215,9505.38
tx-000000082,merchant-03728,electronica,0.926665,23166.63
tx-000000083,merchant-04553,restaurante,0.424162,10604.04
tx-000000084,merchant-02431,ropa,0.156487,3912.18
tx-000000085,merchant-04745,colmado,0.968772,24219.3
tx-000000086,merchant-02570,alimentos,0.062836,1570.89
tx-000000087,merchant-03906,colmado,0.052042,1301.05
tx-000000088,merchant-04351,farmacia,0.919548,22988.71
tx-000000089,merchant-04161,ferreteria,0.058766,1469.15
tx-000000090,merchant-00562,otros,0.85164,21291.0
tx-000000091,merchant-01927,transporte,0.069825,1745.62
tx-000000092,merchant-04667,ropa,0.121647,3041.17
tx-000000093,merchant-00326,otros,0.579761,14494.03
tx-000000094,merchant-04782,otros,0.08382,2095.49
tx-000000095,merchant-02137,ropa,0.523737,13093.43
tx-000000096,merchant-02574,ropa,0.670386,16759.66
tx-000000097,merchant-01073,electronica,0.267083,6677.08
tx-000000098,merchant-00595,alimentos,0.45831,11457.75
tx-000000099,merchant-04613,ferreteria,0.459369,11484.22
tx-000000100,merchant-01747,colmado,0.075114,1877.85
tx-000000101,merchant-02860,ferreteria,0.26667,6666.75
tx-000000102,merchant-03028,electronica,0.879512,21987.79
tx-000000103,merchant-04451,electronica,0.159431,3985.78
tx-000000104,merchant-04334,alimentos,0.612454,15311.36
tx-000000105,merchant-04544,electronica,0.668528,16713.19
tx-000000106,merchant-00849,farmacia,0.931892,23297.31
tx-000000107,merchant-00877,colmado,0.265937,6648.42
tx-000000108,merchant-02309,otros,0.157137,3928.43
tx-000000109,merchant-02809,ropa,0.212208,5305.21
tx-000000110,merchant-02163,colmado,0.688122,17203.05
tx-000000111,merchant-00417,ferreteria,0.489555,12238.87
tx-000000112,merchant-02267,alimentos,0.635016,15875.4
tx-000000113,merchant-01072,electronica,0.005538,138.46
tx-000000114,merchant-03620,colmado,0.163259,4081.47
tx-000000115,merchant-04595,alimentos,0.706256,17656.4
tx-000000116,merchant-01222,colmado,0.11365,2841.25
tx-000000117,merchant-03025,otros,0.037956,948.9
tx-000000118,merchant-03521,farmacia,0.55342,13835.5
tx-000000119,merchant-02988,alimentos,0.043745,1093.63
tx-000000120,merchant-01721,ropa,0.899127,22478.17
tx-000000121,merchant-02898,colmado,0.6676,16689.99
tx-000000122,merchant-03330,otros,0.884366,22109.16
tx-000000123,merchant-01940,farmacia,0.749979,18749.47
tx-000000124,merchant-01451,transporte,0.976254,24406.34
tx-000000125,merchant-02722,transporte,0.026737,668.42
tx-000000126,merchant-02033,electronica,0.802631,20065.77
tx-000000127,merchant-00886,transporte,0.16088,4021.99
tx-000000128,merchant-03856,ropa,0.872422,21810.56
tx-000000129,merchant-03771,servicios,0.201174,5029.34
tx-000000130,merchant-01865,ropa,0.30658,7664.51
tx-000000131,merchant-01583,transporte,0.025617,640.43
tx-000000132,merchant-00569,electronica,0.329606,8240.14
tx-000000133,merchant-04174,transporte,0.352444,8811.1
tx-000000134,merchant-04393,servicios,0.680159,17003.98
tx-000000135,merchant-00945,electronica,0.939359,23483.97
tx-000000136,merchant-02175,alimentos,0.180211,4505.27
tx-000000137,merchant-03560,servicios,0.110186,2754.64
tx-000000138,merchant-02570,transporte,0.729088,18227.2
tx-000000139,merchant-04190,ferreteria,0.606996,15174.91
tx-000000140,merchant-04724,ropa,0.386425,9660.63
tx-000000141,merchant-03573,alimentos,0.256213,6405.33
tx-000000142,merchant-04411,ropa,0.52088,13022.01
tx-000000143,merchant-00574,servicios,0.365493,9137.33
tx-000000144,merchant-01021,electronica,0.623909,15597.73
tx-000000145,merchant-03346,servicios,0.508108,12702.71
tx-000000146,merchant-02423,colmado,0.403596,10089.89
tx-000000147,merchant-03445,transporte,0.129033,3225.83
tx-000000148,merchant-01426,otros,0.677963,16949.08
tx-000000149,merchant-03327,colmado,0.569967,14249.18
tx-000000150,merchant-02490,electronica,0.834058,20851.44
tx-000000151,merchant-04752,otros,0.211762,5294.06
tx-000000152,merchant-03810,restaurante,0.655396,16384.91
tx-000000153,merchant-01751,colmado,0.443276,11081.89
tx-000000154,merchant-01391,ferreteria,0.47424,11856.0
tx-000000155,merchant-02746,ferreteria,0.285219,7130.47
tx-000000156,merchant-01925,electronica,0.818787,20469.67
tx-000000157,merchant-01632,farmacia,0.226191,5654.78
tx-000000158,merchant-02006,restaurante,0.026376,659.41
tx-000000159,merchant-00597,restaurante,0.612052,15301.29
tx-000000160,merchant-04716,ropa,0.415612,10390.3
tx-000000161,merchant-03146,restaurante,0.718909,17972.73
tx-000000162,merchant-01209,alimentos,0.400854,10021.34
tx-000000163,merchant-00874,transporte,0.892874,22321.86
tx-000000164,merchant-04244,restaurante,0.220404,5510.09
tx-000000165,merchant-02042,ferreteria,0.052118,1302.95
tx-000000166,merchant-03807,colmado,0.457549,11438.72
tx-000000167,merchant-04878,servicios,0.987917,24697.92
tx-000000168,merchant-03626,otros,0.95014,23753.49
tx-000000169,merchant-04136,transporte,0.815376,20384.41
tx-000000170,merchant-04489,restaurante,0.830908,20772.7
tx-000000171,merchant-03889,restaurante,0.897414,22435.34
tx-000000172,merchant-02026,electronica,0.260673,6516.83
tx-000000173,merchant-04271,restaurante,0.766282,19157.05
tx-000000174,merchant-02250,restaurante,0.627495,15687.37
tx-000000175,merchant-02341,ropa,0.079328,1983.21
tx-000000176,merchant-02620,colmado,0.273172,6829.29
tx-000000177,merchant-01236,ropa,0.082416,2060.41
tx-000000178,merchant-01252,ropa,0.384269,9606.73
tx-000000179,merchant-03340,servicios,0.0661,1652.51
tx-000000180,merchant-03407,alimentos,0.543526,13588.15
tx-000000181,merchant-03442,transporte,0.208421,5210.52
tx-000000182,merchant-04785,alimentos,0.905029,22625.72
tx-000000183,merchant-04717,transporte,0.857018,21425.46
tx-000000184,merchant-02882,electronica,0.478026,11950.64
tx-000000185,merchant-03433,colmado,0.753968,18849.2
tx-000000186,merchant-04474,otros,0.748021,18700.52
tx-000000187,merchant-04000,ropa,0.898016,22450.39
tx-000000188,merchant-03979,alimentos,0.27439,6859.74
tx-000000189,merchant-03313,farmacia,0.39008,9751.99
tx-000000190,merchant-01046,otros,0.840825,21020.62
tx-000000191,merchant-03228,otros,0.535055,13376.38
tx-000000192,merchant-00223,ferreteria,0.565263,14131.58
tx-000000193,merchant-01112,restaurante,0.643464,16086.6
tx-000000194,merchant-02132,transporte,0.183366,4584.14
tx-000000195,merchant-03725,servicios,0.328698,8217.45
tx-000000196,merchant-03106,electronica,0.338826,8470.64
tx-000000197,merchant-03454,electronica,0.752506,18812.65
tx-000000198,merchant-03853,alimentos,0.835241,20881.03
tx-000000199,merchant-00427,servicios,0.749526,18738.16
tx-000000200,merchant-00563,alimentos,0.225774,5644.34
tx-000000201,merchant-02026,ropa,0.754725,18868.12
tx-000000202,merchant-01249,ropa,0.83955,20988.76
tx-000000203,merchant-00938,otros,0.127968,3199.21
tx-000000204,merchant-03810,electronica,0.947862,23696.54
tx-000000205,merchant-01375,otros,0.767364,19184.11
tx-000000206,merchant-00939,farmacia,0.608033,15200.82
tx-000000207,merchant-00886,otros,0.964791,24119.78
tx-000000208,merchant-02556,otros,0.027627,690.68
tx-000000209,merchant-03075,transporte,0.677992,16949.81
tx-000000210,merchant-01625,ferreteria,0.941588,23539.69
tx-000000211,merchant-01990,ferreteria,0.592914,14822.84
tx-000000212,merchant-02471,otros,0.697799,17444.97
tx-000000213,merchant-04637,alimentos,0.805917,20147.92
tx-000000214,merchant-03510,servicios,0.348509,8712.73
tx-000000215,merchant-02796,alimentos,0.070819,1770.47
tx-000000216,merchant-04016,ferreteria,0.849876,21246.91
tx-000000217,merchant-02968,restaurante,0.434656,10866.41
tx-000000218,merchant-03568,farmacia,0.707894,17697.35
tx-000000219,merchant-02213,otros,0.734328,18358.19
tx-000000220,merchant-04409,restaurante,0.808583,20214.57
tx-000000221,merchant-04854,electronica,0.465944,11648.6
tx-000000222,merchant-02012,ferreteria,0.32366,8091.5
tx-000000223,merchant-03693,ropa,0.28037,7009.26
tx-000000224,merchant-04669,otros,0.750975,18774.38
tx-000000225,merchant-02756,alimentos,0.668852,16721.3
tx-000000226,merchant-02663,farmacia,0.495318,12382.95
tx-000000227,merchant-02907,electronica,0.488575,12214.37
tx-000000228,merchant-04884,electronica,0.341658,8541.45
tx-000000229,merchant-04233,ropa,0.55668,13916.99
tx-000000230,merchant-03330,restaurante,0.087442,2186.04
tx-000000231,merchant-01969,restaurante,0.556066,13901.65
tx-000000232,merchant-04021,restaurante,0.646611,16165.28
tx-000000233,merchant-00763,electronica,0.793347,19833.68
tx-000000234,merchant-01994,electronica,0.223153,5578.83
tx-000000235,merchant-03024,restaurante,0.664632,16615.8
tx-000000236,merchant-02817,transporte,0.554366,13859.15
tx-000000237,merchant-04509,servicios,0.996638,24915.96
tx-000000238,merchant-03718,electronica,0.353107,8827.67
tx-000000239,merchant-01889,ferreteria,0.30801,7700.24
tx-000000240,merchant-02585,ferreteria,0.721842,18046.04
tx-000000241,merchant-01517,ropa,0.743395,18584.88
tx-000000242,merchant-03967,electronica,0.217952,5448.8
tx-000000243,merchant-04298,otros,0.725136,18128.4
tx-000000244,merchant-00824,ropa,0.284433,7110.82
tx-000000245,merchant-02957,farmacia,0.297654,7441.35
tx-000000246,merchant-04376,farmacia,0.303663,7591.58
tx-000000247,merchant-00447,colmado,0.275763,6894.07
tx-000000248,merchant-01035,restaurante,0.293552,7338.81
tx-000000249,merchant-00101,otros,0.104382,2609.56
tx-000000250,merchant-03922,restaurante,0.285771,7144.27
tx-000000251,merchant-00421,electronica,0.342024,8550.61
tx-000000252,merchant-03914,ferreteria,0.941182,23529.54
tx-000000253,merchant-03283,restaurante,0.822472,20561.79
tx-000000254,merchant-00440,farmacia,0.075934,1898.35
tx-000000255,merchant-04611,electronica,0.150899,3772.48
tx-000000256,merchant-02034,ferreteria,0.08701,2175.26
tx-000000257,merchant-03410,otros,0.558957,13973.92
tx-000000258,merchant-01849,colmado,0.596934,14923.36
tx-000000259,merchant-03627,electronica,0.381617,9540.43
tx-000000260,merchant-03513,electronica,0.860446,21511.16
tx-000000261,merchant-00494,otros,0.569492,14237.31
tx-000000262,merchant-00813,ropa,0.960188,24004.71
tx-000000263,merchant-02168,ferreteria,0.626264,15656.6
tx-000000264,merchant-01424,colmado,0.158743,3968.57
tx-000000265,merchant-00022,transporte,0.076915,1922.87
tx-000000266,merchant-04865,restaurante,0.451603,11290.07
tx-000000267,merchant-01897,electronica,0.292677,7316.92
tx-000000268,merchant-03720,ferreteria,0.707542,17688.55
tx-000000269,merchant-02168,otros,0.68801,17200.25
tx-000000270,merchant-01621,transporte,0.661861,16546.52
tx-000000271,merchant-01842,farmacia,0.116547,2913.67
tx-000000272,merchant-01166,ferreteria,0.908595,22714.87
tx-000000273,merchant-02520,otros,0.061519,1537.97
tx-000000274,merchant-04663,electronica,0.74946,18736.5
tx-000000275,merchant-03840,electronica,0.440275,11006.88
tx-000000276,merchant-02231,colmado,0.700334,17508.36
tx-000000277,merchant-03587,ferreteria,0.540902,13522.54
tx-000000278,merchant-03540,servicios,0.59884,14971.01
tx-000000279,merchant-00212,ferreteria,0.604506,15112.66
tx-000000280,merchant-04713,otros,0.230466,5761.66
tx-000000281,merchant-02208,otros,0.950885,23772.12
tx-000000282,merchant-01436,restaurante,0.042151,1053.78
tx-000000283,merchant-03623,electronica,0.519926,12998.15
tx-000000284,merchant-04796,transporte,0.183126,4578.15
tx-000000285,merchant-04029,ferreteria,0.635515,15887.88
tx-000000286,merchant-03346,servicios,0.47107,11776.76
tx-000000287,merchant-00857,farmacia,0.322416,8060.4
tx-000000288,merchant-04059,electronica,0.331144,8278.6
tx-000000289,merchant-03281,colmado,0.663258,16581.46
tx-000000290,merchant-00722,servicios,0.038624,965.59
tx-000000291,merchant-00950,transporte,0.253894,6347.35
tx-000000292,merchant-00010,colmado,0.865181,21629.52
tx-000000293,merchant-00445,ropa,0.463052,11576.31
tx-000000294,merchant-04084,restaurante,0.519402,12985.06
tx-000000295,merchant-01668,electronica,0.76047,19011.76
tx-000000296,merchant-02360,restaurante,0.550121,13753.03
tx-000000297,merchant-03971,ferreteria,0.881085,22027.12
tx-000000298,merchant-04988,ropa,0.030812,770.29
tx-000000299,merchant-02546,colmado,0.710363,17759.08
tx-000000300,merchant-03343,ferreteria,0.015647,391.18
tx-000000301,merchant-00930,restaurante,0.226251,5656.28
tx-000000302,merchant-01262,restaurante,0.947167,23679.17
tx-000000303,merchant-02391,colmado,0.932788,23319.69
tx-000000304,merchant-03404,restaurante,0.706001,17650.02
tx-000000305,merchant-01997,restaurante,0.980284,24507.1
tx-000000306,merchant-03143,ropa,0.552162,13804.06
tx-000000307,merchant-04164,farmacia,0.922024,23050.61
tx-000000308,merchant-02264,transporte,0.864299,21607.47
tx-000000309,merchant-04160,electronica,0.341196,8529.89
tx-000000310,merchant-02318,electronica,0.820908,20522.71
tx-000000311,merchant-04751,restaurante,0.837801,20945.02
tx-000000312,merchant-03659,colmado,0.86553,21638.25
tx-000000313,merchant-02724,colmado,0.485373,12134.32
tx-000000314,merchant-03091,restaurante,0.763347,19083.67
tx-000000315,merchant-01546,ropa,0.932986,23324.66
tx-000000316,merchant-01914,transporte,0.572654,14316.35
tx-000000317,merchant-03875,transporte,0.04556,1139.0
tx-000000318,merchant-01247,restaurante,0.387306,9682.66
tx-000000319,merchant-01035,colmado,0.964895,24122.37
tx-000000320,merchant-02720,ferreteria,0.965423,24135.57
tx-000000321,merchant-03607,ferreteria,0.874442,21861.05
tx-000000322,merchant-03744,alimentos,0.526899,13172.48
tx-000000323,merchant-03359,farmacia,0.722999,18074.97
tx-000000324,merchant-02172,servicios,0.076678,1916.96
tx-000000325,merchant-03257,ferreteria,0.624013,15600.32
tx-000000326,merchant-04372,transporte,0.852062,21301.54
tx-000000327,merchant-03998,colmado,0.954231,23855.78
tx-000000328,merchant-00561,ropa,0.037827,945.68
tx-000000329,merchant-02355,ropa,0.631899,15797.47
tx-000000330,merchant-03556,ferreteria,0.747273,18681.82
tx-000000331,merchant-00824,restaurante,0.760849,19021.22
tx-000000332,merchant-02454,alimentos,0.168032,4200.8
tx-000000333,merchant-00460,electronica,0.047899,1197.47
tx-000000334,merchant-03529,farmacia,0.359746,8993.66
tx-000000335,merchant-03376,otros,0.245709,6142.73
tx-000000336,merchant-01476,farmacia,0.682437,17060.92
tx-000000337,merchant-04993,transporte,0.176719,4417.98
tx-000000338,merchant-01973,restaurante,0.620471,15511.77
tx-000000339,merchant-01173,ropa,0.913003,22825.08
tx-000000340,merchant-02081,restaurante,0.462228,11555.69
tx-000000341,merchant-00077,restaurante,0.256816,6420.4
tx-000000342,merchant-04478,farmacia,0.901407,22535.18
tx-000000343,merchant-02831,otros,0.075714,1892.85
tx-000000344,merchant-03476,electronica,0.300556,7513.9
tx-000000345,merchant-02475,ropa,0.457922,11448.05
tx-000000346,merchant-03959,ferreteria,0.999375,24984.37
tx-000000347,merchant-04686,servicios,0.238731,5968.28
tx-000000348,merchant-02419,alimentos,0.575662,14391.56
tx-000000349,merchant-03243,electronica,0.977988,24449.71
tx-000000350,merchant-00402,otros,0.010082,252.04
tx-000000351,merchant-02345,ropa,0.745682,18642.05
tx-000000352,merchant-02887,ropa,0.607851,15196.27
tx-000000353,merchant-02054,farmacia,0.637345,15933.62
tx-000000354,merchant-00323,electronica,0.628992,15724.79
tx-000000355,merchant-00274,otros,0.789033,19725.83
tx-000000356,merchant-01077,ferreteria,0.366132,9153.29
tx-000000357,merchant-02677,transporte,0.909808,22745.21
tx-000000358,merchant-01083,colmado,0.177289,4432.22
tx-000000359,merchant-02998,colmado,0.876708,21917.69
tx-000000360,merchant-02233,farmacia,0.502791,12569.78
tx-000000361,merchant-03948,electronica,0.258456,6461.4
tx-000000362,merchant-02775,ferreteria,0.747066,18676.66
tx-000000363,merchant-00617,farmacia,0.469395,11734.87
tx-000000364,merchant-01849,transporte,0.754643,18866.08
tx-000000365,merchant-04566,servicios,0.967335,24183.38
tx-000000366,merchant-03233,alimentos,0.092122,2303.06
tx-000000367,merchant-01013,restaurante,0.26593,6648.24
tx-000000368,merchant-02148,otros,0.369848,9246.21
tx-000000369,merchant-03044,ferreteria,0.382264,9556.59
tx-000000370,merchant-03863,alimentos,0.675487,16887.17
tx-000000371,merchant-04600,servicios,0.620308,15507.69
tx-000000372,merchant-01814,ferreteria,0.915425,22885.63
tx-000000373,merchant-03804,electronica,0.636133,15903.33
tx-000000374,merchant-00956,farmacia,0.649941,16248.52
tx-000000375,merchant-00305,electronica,0.047256,1181.4
tx-000000376,merchant-00952,ferreteria,0.995936,24898.39
tx-000000377,merchant-04404,farmacia,0.23633,5908.26
tx-000000378,merchant-03040,colmado,0.389868,9746.71
tx-000000379,merchant-01266,transporte,0.420288,10507.21
tx-000000380,merchant-04009,otros,0.655612,16390.3
tx-000000381,merchant-02292,alimentos,0.4093,10232.49
tx-000000382,merchant-01780,restaurante,0.6909,17272.5
tx-000000383,merchant-01935,servicios,0.445806,11145.16
tx-000000384,merchant-03010,colmado,0.101156,2528.9
tx-000000385,merchant-02939,alimentos,0.901893,22547.32
tx-000000386,merchant-01555,ferreteria,0.399343,9983.58
tx-000000387,merchant-03726,ferreteria,0.949113,23727.82
tx-000000388,merchant-04892,alimentos,0.663443,16586.08
tx-000000389,merchant-02733,ropa,0.052477,1311.93
tx-000000390,merchant-04626,ropa,0.988843,24721.08
tx-000000391,merchant-04541,ropa,0.070473,1761.82
tx-000000392,merchant-01909,servicios,0.58721,14680.26
tx-000000393,merchant-04883,alimentos,0.77482,19370.5
tx-000000394,merchant-01186,farmacia,0.27872,6968.01
tx-000000395,merchant-01430,ferreteria,0.541135,13528.38
tx-000000396,merchant-00212,farmacia,0.661736,16543.39
tx-000000397,merchant-01950,otros,0.016831,420.77
tx-000000398,merchant-01428,electronica,0.325124,8128.1
tx-000000399,merchant-03449,colmado,0.054294,1357.36
tx-000000400,merchant-00521,restaurante,0.115422,2885.55
tx-000000401,merchant-02966,colmado,0.449379,11234.47
tx-000000402,merchant-03703,colmado,0.594479,14861.97
tx-000000403,merchant-00356,colmado,0.223107,5577.67
tx-000000404,merchant-00256,alimentos,0.303027,7575.68
tx-000000405,merchant-03291,transporte,0.99859,24964.74
tx-000000406,merchant-04017,restaurante,0.686725,17168.13
tx-000000407,merchant-00662,servicios,0.075344,1883.59
tx-000000408,merchant-00539,farmacia,0.609081,15227.02
tx-000000409,merchant-04796,colmado,0.276466,6911.65
tx-000000410,merchant-03121,otros,0.712728,17818.21
tx-000000411,merchant-03717,colmado,0.531496,13287.39
tx-000000412,merchant-00813,ferreteria,0.606216,15155.4
tx-000000413,merchant-04517,ropa,0.853087,21327.18
tx-000000414,merchant-01872,transporte,0.43121,10780.25
tx-000000415,merchant-03716,transporte,0.340254,8506.34
tx-000000416,merchant-00779,servicios,0.417158,10428.94
tx-000000417,merchant-02089,servicios,0.42791,10697.76
tx-000000418,merchant-03886,ferreteria,0.953685,23842.13
tx-000000419,merchant-00700,ferreteria,0.093042,2326.06
tx-000000420,merchant-03053,farmacia,0.433013,10825.32
tx-000000421,merchant-04805,colmado,0.557258,13931.45
tx-000000422,merchant-01002,transporte,0.56256,14064.0
tx-000000423,merchant-03465,alimentos,0.354891,8872.27
tx-000000424,merchant-04919,electronica,0.968462,24211.55
tx-000000425,merchant-04735,colmado,0.352943,8823.57
tx-000000426,merchant-03951,ropa,0.214313,5357.83
tx-000000427,merchant-02869,colmado,0.84758,21189.51
tx-000000428,merchant-02283,otros,0.368826,9220.65
tx-000000429,merchant-03516,colmado,0.227707,5692.67
tx-000000430,merchant-04561,alimentos,0.974598,24364.94
tx-000000431,merchant-02191,alimentos,0.609777,15244.42
tx-000000432,merchant-02532,servicios,0.182055,4551.38
tx-000000433,merchant-01487,farmacia,0.352321,8808.03
tx-000000434,merchant-03284,ferreteria,0.567188,14179.71
tx-000000435,merchant-00252,ferreteria,0.143591,3589.77
tx-000000436,merchant-01763,transporte,0.74662,18665.49
tx-000000437,merchant-02793,farmacia,0.420993,10524.82
tx-000000438,merchant-02658,otros,0.371313,9282.82
tx-000000439,merchant-00431,farmacia,0.597031,14925.78
tx-000000440,merchant-00408,ferreteria,0.159095,3977.38
tx-000000441,merchant-03474,restaurante,0.273559,6838.97
tx-000000442,merchant-03393,electronica,0.607862,15196.55
tx-000000443,merchant-04198,ferreteria,0.217138,5428.45
tx-000000444,merchant-00909,electronica,0.346482,8662.06
tx-000000445,merchant-04859,restaurante,0.678862,16971.54
tx-000000446,merchant-02527,alimentos,0.52788,13197.01
tx-000000447,merchant-04910,alimentos,0.222077,5551.93
tx-000000448,merchant-02470,ropa,0.009672,241.79
tx-000000449,merchant-02094,electronica,0.767815,19195.37
tx-000000450,merchant-00064,restaurante,0.329466,8236.65
tx-000000451,merchant-01440,farmacia,0.74752,18688.0
tx-000000452,merchant-01886,colmado,0.381447,9536.18
tx-000000453,merchant-02902,ferreteria,0.559606,13990.15
tx-000000454,merchant-00347,transporte,0.398277,9956.93
tx-000000455,merchant-00638,servicios,0.020704,517.6
tx-000000456,merchant-04698,transporte,0.576608,14415.19
tx-000000457,merchant-03422,electronica,0.71008,17752.0
tx-000000458,merchant-00171,servicios,0.116943,2923.58
tx-000000459,merchant-03770,servicios,0.17353,4338.24
tx-000000460,merchant-00868,ropa,0.089954,2248.84
tx-000000461,merchant-03281,colmado,0.436805,10920.13
tx-000000462,merchant-02542,servicios,0.08049,2012.24
tx-000000463,merchant-01378,ferreteria,0.223129,5578.22
tx-000000464,merchant-00935,colmado,0.511462,12786.56
tx-000000465,merchant-02863,servicios,0.510932,12773.3
tx-000000466,merchant-01210,ropa,0.727924,18198.11
tx-000000467,merchant-02097,ropa,0.104599,2614.97
tx-000000468,merchant-01253,ferreteria,0.175152,4378.8
tx-000000469,merchant-04048,restaurante,0.178792,4469.8
tx-000000470,merchant-04748,restaurante,0.754937,18873.42
tx-000000471,merchant-04625,otros,0.681771,17044.28
tx-000000472,merchant-02590,farmacia,0.324562,8114.05
tx-000000473,merchant-03842,restaurante,0.440883,11022.08
tx-000000474,merchant-02251,otros,0.632122,15803.06
tx-000000475,merchant-04157,ferreteria,0.05806,1451.49
tx-000000476,merchant-03703,alimentos,0.311787,7794.68
tx-000000477,merchant-02352,ferreteria,0.058776,1469.41
tx-000000478,merchant-00740,otros,0.645377,16134.43
tx-000000479,merchant-03150,restaurante,0.594892,14872.29
tx-000000480,merchant-00337,restaurante,0.581169,14529.22
tx-000000481,merchant-04684,ropa,0.909232,22730.8
tx-000000482,merchant-03897,colmado,0.322884,8072.09
tx-000000483,merchant-00507,restaurante,0.152559,3813.98
tx-000000484,merchant-02814,ferreteria,0.105295,2632.37
tx-000000485,merchant-01414,alimentos,0.50554,12638.5
tx-000000486,merchant-03587,restaurante,0.249248,6231.21
tx-000000487,merchant-04996,farmacia,0.52502,13125.51
tx-000000488,merchant-02318,transporte,0.36517,9129.25
tx-000000489,merchant-02772,otros,0.409952,10248.8
